project_code,project_name,project_type,sector,state_name,district_name,latitude,longitude,total_acreage_ha,num_land_parcels,affected_families,project_cost_cr,private_to_govt_ratio,sc_st_land_percentage,multi_crop_irrigated_percentage,required_consent_percentage,non_owner_to_owner_paf_ratio,circle_rate_disparity_ratio,rr_cost_share_percentage,rural_multiplier_factor,district_litigation_rate,revenue_staff_vacancy_rate,avg_s15_resolution_days,days_since_s11,s11_notification_date,primary_delay_cause,delay_probability,delay_target
PRJ-WAT-SON-2026-0021,Sonbhadra Multi-Purpose Irrigation Dam & Canal (Package 4),Multi-Purpose Irrigation Dam & Canal,Water Resources,Uttar Pradesh,Sonbhadra,24.6562,83.1283,552.3,572,1545,4054.4,2.16,41.1,3.0,0,0.45,1.59,21.0,1.75,7.1,40.3,78.4,313,2025-11-11,Section 19(2) 12-Month Statutory Deadline Proximity,0.8187,1
PRJ-URB-VAR-2026-0022,Varanasi Industrial Mega Smart City Hub (Package 1),Industrial Mega Smart City Hub,Urban Development,Uttar Pradesh,Varanasi,25.3643,83.0202,1070.0,1079,3248,3261.1,3.76,11.5,54.5,80,0.46,2.21,9.9,1.75,18.2,18.8,88.9,383,2025-09-02,Section 19(2) 12-Month Statutory Deadline Proximity,0.999,1
PRJ-TRA-CUT-2026-0023,Cuttack High-Speed Rail Transit Link (Package 4),High-Speed Rail Transit Link,Transport,Odisha,Cuttack,20.3961,85.9607,127.4,208,273,738.6,2.73,12.7,28.4,70,0.67,2.14,11.2,1.25,9.9,9.0,57.4,358,2025-09-27,Section 19(2) 12-Month Statutory Deadline Proximity,0.8612,1
PRJ-URB-JHA-2026-0024,Jharsuguda Industrial Mega Smart City Hub (Package 1),Industrial Mega Smart City Hub,Urban Development,Odisha,Jharsuguda,21.784,83.947,1042.4,1463,4133,8530.5,2.14,37.1,13.6,70,0.62,1.86,26.3,1.75,9.2,10.2,60.4,193,2026-03-11,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1168,0
PRJ-TRA-CHE-2026-0025,Chennai Dedicated Freight Railway Corridor (Package 1),Dedicated Freight Railway Corridor,Transport,Tamil Nadu,Chennai,13.0754,80.2911,385.2,744,2002,2311.3,5.0,5.8,12.0,70,0.39,2.97,14.1,1.25,17.7,50.6,92.3,208,2026-02-24,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.9019,1
PRJ-TRA-SUN-2026-0026,Sundargarh National Highway Expressway Corridor (Package 4),National Highway Expressway Corridor,Transport,Odisha,Sundargarh,22.1463,83.9793,546.5,1318,1701,2287.5,3.49,40.8,4.8,80,0.24,1.94,11.4,2.0,6.9,32.4,58.6,390,2025-08-26,Section 19(2) 12-Month Statutory Deadline Proximity,0.9891,1
PRJ-TRA-NAN-2026-0027,Nandurbar High-Speed Rail Transit Link (Package 1),High-Speed Rail Transit Link,Transport,Maharashtra,Nandurbar,21.4127,74.3116,553.7,1252,3880,3795.2,2.92,56.7,7.7,70,0.05,1.17,28.8,1.75,6.8,24.5,72.8,98,2026-06-14,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.035,0
PRJ-WAT-MYS-2026-0028,Mysuru Multi-Purpose Irrigation Dam & Canal (Package 1),Multi-Purpose Irrigation Dam & Canal,Water Resources,Karnataka,Mysuru,12.299,76.6957,1301.5,1522,3197,4262.4,3.16,11.1,25.6,0,0.4,2.11,6.3,1.25,12.6,10.3,69.8,324,2025-10-31,Section 19(2) 12-Month Statutory Deadline Proximity,0.8371,1
PRJ-TRA-SUN-2026-0029,Sundargarh National Highway Expressway Corridor (Package 3),National Highway Expressway Corridor,Transport,Odisha,Sundargarh,22.1001,84.0528,522.9,923,2725,2573.1,3.08,40.1,12.4,70,0.54,1.86,13.2,1.75,5.6,47.5,62.6,144,2026-04-29,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1602,0
PRJ-ENE-BUR-2026-0030,Burdwan Ultra Mega Solar Renewable Energy Park (Package 3),Ultra Mega Solar Renewable Energy Park,Energy,West Bengal,Burdwan,23.1738,87.811,2469.7,8658,12936,19904.6,1.95,9.8,63.9,70,0.34,1.72,4.0,1.25,10.8,34.8,84.0,53,2026-07-29,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0942,0
PRJ-TRA-BHA-2026-0031,Bharuch National Highway Expressway Corridor (Package 3),National Highway Expressway Corridor,Transport,Gujarat,Bharuch,21.6314,73.0438,221.3,424,663,1012.2,4.08,6.1,34.5,70,0.5,2.38,10.0,1.5,13.8,14.7,62.2,100,2026-06-12,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.4338,1
PRJ-TRA-JHA-2026-0032,Jharsuguda National Highway Expressway Corridor (Package 3),National Highway Expressway Corridor,Transport,Odisha,Jharsuguda,21.849,84.0476,578.4,494,1455,4641.8,2.44,37.1,15.1,70,0.49,1.81,19.3,2.0,8.3,22.4,77.8,111,2026-06-01,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0781,0
PRJ-WAT-BEN-2026-0033,Bengaluru Urban Multi-Purpose Irrigation Dam & Canal (Package 2),Multi-Purpose Irrigation Dam & Canal,Water Resources,Karnataka,Bengaluru Urban,12.9108,77.6571,228.4,269,706,1797.8,5.76,3.5,5.2,0,0.06,4.17,15.0,1.0,20.5,5.9,65.2,124,2026-05-19,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8447,1
PRJ-WAT-PUR-2026-0034,Purba Medinipur Multi-Purpose Irrigation Dam & Canal (Package 3),Multi-Purpose Irrigation Dam & Canal,Water Resources,West Bengal,Purba Medinipur,21.9267,87.8548,963.5,2684,7457,5290.2,3.04,2.6,65.6,0,0.45,1.53,8.8,1.75,13.1,18.3,84.0,268,2025-12-26,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.4621,0
PRJ-TRA-BHA-2026-0035,Bharuch National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,Gujarat,Bharuch,21.6524,73.0229,562.2,646,906,1921.1,3.36,7.6,27.7,70,0.61,2.24,9.8,1.75,14.5,10.3,68.4,126,2026-05-17,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.4196,0
PRJ-ENE-BUR-2026-0036,Burdwan Ultra Mega Solar Renewable Energy Park (Package 2),Ultra Mega Solar Renewable Energy Park,Energy,West Bengal,Burdwan,23.178,87.8637,2630.5,6473,15167,10995.2,2.47,12.3,58.2,70,0.05,1.89,5.9,1.75,11.1,10.4,61.7,182,2026-03-22,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1327,0
PRJ-TRA-CHE-2026-0037,Chennai High-Speed Rail Transit Link (Package 1),High-Speed Rail Transit Link,Transport,Tamil Nadu,Chennai,13.1528,80.2197,356.9,284,531,1180.1,4.51,6.3,8.4,70,0.45,3.25,21.2,1.25,12.6,21.4,63.8,458,2025-06-19,Section 19(2) 12-Month Statutory Deadline Proximity,0.9963,1
PRJ-ENE-BUR-2026-0038,Burdwan Ultra Mega Solar Renewable Energy Park (Package 4),Ultra Mega Solar Renewable Energy Park,Energy,West Bengal,Burdwan,23.2161,87.9174,559.6,1651,3878,4225.5,2.97,8.4,59.6,0,0.27,1.55,16.0,1.75,10.2,36.3,65.5,372,2025-09-13,Section 19(2) 12-Month Statutory Deadline Proximity,0.9065,1
PRJ-TRA-NAN-2026-0039,Nandurbar Dedicated Freight Railway Corridor (Package 4),Dedicated Freight Railway Corridor,Transport,Maharashtra,Nandurbar,21.312,74.2874,755.0,1069,2272,3252.7,2.84,53.3,8.9,70,0.5,1.5,10.9,2.0,7.5,10.5,62.9,451,2025-06-26,Section 19(2) 12-Month Statutory Deadline Proximity,0.8763,1
PRJ-TRA-JHA-2026-0040,Jharsuguda Dedicated Freight Railway Corridor (Package 4),Dedicated Freight Railway Corridor,Transport,Odisha,Jharsuguda,21.7927,84.0634,963.1,1650,4929,6964.7,2.27,34.6,16.2,70,0.2,2.09,22.4,2.0,8.5,40.8,76.2,326,2025-10-29,Section 19(2) 12-Month Statutory Deadline Proximity,0.9096,1
PRJ-TRA-PUR-2026-0041,Purba Medinipur Dedicated Freight Railway Corridor (Package 1),Dedicated Freight Railway Corridor,Transport,West Bengal,Purba Medinipur,21.9436,87.8486,396.6,807,2255,1348.2,2.54,9.5,64.8,70,0.42,1.99,23.4,1.25,12.0,13.5,59.4,456,2025-06-21,Section 19(2) 12-Month Statutory Deadline Proximity,0.9561,1
PRJ-ENE-PUR-2026-0042,Purba Medinipur Ultra Mega Solar Renewable Energy Park (Package 3),Ultra Mega Solar Renewable Energy Park,Energy,West Bengal,Purba Medinipur,22.0192,87.8451,768.0,1950,4312,4737.6,3.05,8.9,60.4,70,0.39,2.17,10.0,1.75,14.4,32.1,76.3,315,2025-11-09,Section 19(2) 12-Month Statutory Deadline Proximity,0.9791,1
PRJ-TRA-KUT-2026-0043,Kutch High-Speed Rail Transit Link (Package 1),High-Speed Rail Transit Link,Transport,Gujarat,Kutch,23.28,69.6593,314.4,287,909,2368.5,2.35,19.2,9.6,70,0.32,1.31,19.9,1.75,2.0,30.3,45.1,428,2025-07-19,Section 19(2) 12-Month Statutory Deadline Proximity,0.741,1
PRJ-TRA-MYS-2026-0044,Mysuru Dedicated Freight Railway Corridor (Package 2),Dedicated Freight Railway Corridor,Transport,Karnataka,Mysuru,12.2396,76.6257,508.3,792,1173,1808.7,1.75,8.8,20.8,80,0.73,1.78,23.2,1.25,12.3,5.6,56.9,444,2025-07-03,Section 19(2) 12-Month Statutory Deadline Proximity,0.954,1
PRJ-TRA-VAR-2026-0045,Varanasi National Highway Expressway Corridor (Package 3),National Highway Expressway Corridor,Transport,Uttar Pradesh,Varanasi,25.3215,82.9644,182.3,662,1459,1107.0,3.59,12.8,53.3,80,0.25,2.2,11.3,1.75,13.9,31.5,76.1,60,2026-07-22,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8788,1
PRJ-URB-BEL-2026-0046,Belagavi Industrial Mega Smart City Hub (Package 4),Industrial Mega Smart City Hub,Urban Development,Karnataka,Belagavi,15.7729,74.4344,1091.4,2694,4069,3919.8,2.2,10.9,46.4,80,0.67,2.18,18.7,1.5,13.0,6.3,64.6,197,2026-03-07,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.4127,0
PRJ-WAT-KUT-2026-0047,Kutch Multi-Purpose Irrigation Dam & Canal (Package 4),Multi-Purpose Irrigation Dam & Canal,Water Resources,Gujarat,Kutch,23.2294,69.7297,1235.9,1284,3217,4856.0,1.61,28.8,4.2,0,0.29,1.24,27.8,2.0,1.8,18.8,57.2,337,2025-10-18,Section 19(2) 12-Month Statutory Deadline Proximity,0.5002,1
PRJ-URB-VAR-2026-0048,Varanasi Industrial Mega Smart City Hub (Package 1),Industrial Mega Smart City Hub,Urban Development,Uttar Pradesh,Varanasi,25.3056,82.8975,1862.3,3518,6046,8898.4,2.82,14.4,47.6,80,0.67,1.89,4.0,1.75,17.4,18.8,90.2,395,2025-08-21,Section 19(2) 12-Month Statutory Deadline Proximity,0.9825,1
PRJ-ENE-SAL-2026-0049,Salem Ultra Mega Solar Renewable Energy Park (Package 2),Ultra Mega Solar Renewable Energy Park,Energy,Tamil Nadu,Salem,11.6173,78.0678,1044.8,2529,6238,4228.6,3.31,7.1,49.7,70,0.25,2.14,10.1,1.25,12.9,17.9,69.0,220,2026-02-12,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2559,0
PRJ-TRA-GAD-2026-0050,Gadchiroli National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,Maharashtra,Gadchiroli,20.1402,79.9823,219.9,529,1559,1338.0,3.03,52.1,0.0,70,0.12,1.72,18.9,2.0,6.6,12.8,53.5,234,2026-01-29,Cadastral Boundary Verification & Normal Progress,0.105,0
PRJ-URB-KAN-2026-0051,Kanpur Industrial Mega Smart City Hub (Package 2),Industrial Mega Smart City Hub,Urban Development,Uttar Pradesh,Kanpur,26.387,80.2639,884.1,1216,3207,3786.4,4.62,13.0,26.9,70,0.45,1.96,17.5,1.25,12.3,28.3,77.7,280,2025-12-14,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.3254,0
PRJ-WAT-NAG-2026-0052,Nagpur Multi-Purpose Irrigation Dam & Canal (Package 3),Multi-Purpose Irrigation Dam & Canal,Water Resources,Maharashtra,Nagpur,21.2055,79.1254,1141.2,1873,4826,5830.3,3.35,11.8,27.2,0,0.78,1.82,17.1,1.25,7.9,22.0,59.4,283,2025-12-11,Cadastral Boundary Verification & Normal Progress,0.2114,0
PRJ-ENE-MYS-2026-0053,Mysuru Ultra Mega Solar Renewable Energy Park (Package 3),Ultra Mega Solar Renewable Energy Park,Energy,Karnataka,Mysuru,12.3537,76.6945,2335.7,4558,11780,17740.0,2.27,10.7,23.0,70,0.65,2.08,7.6,1.75,7.8,48.4,91.1,429,2025-07-18,Section 19(2) 12-Month Statutory Deadline Proximity,0.9573,1
PRJ-TRA-SON-2026-0054,Sonbhadra High-Speed Rail Transit Link (Package 2),High-Speed Rail Transit Link,Transport,Uttar Pradesh,Sonbhadra,24.656,83.0851,245.9,559,712,1494.5,1.88,34.8,7.1,80,0.26,1.77,28.3,1.75,5.7,8.1,54.1,392,2025-08-24,Section 19(2) 12-Month Statutory Deadline Proximity,0.8994,1
PRJ-TRA-PUR-2026-0055,Purba Medinipur High-Speed Rail Transit Link (Package 2),High-Speed Rail Transit Link,Transport,West Bengal,Purba Medinipur,21.9264,87.743,540.7,1415,2357,1430.9,3.53,3.9,65.0,70,0.76,1.82,12.2,1.25,12.6,24.8,84.8,389,2025-08-27,Section 19(2) 12-Month Statutory Deadline Proximity,0.9775,1
PRJ-URB-AHM-2026-0056,Ahmedabad Industrial Mega Smart City Hub (Package 1),Industrial Mega Smart City Hub,Urban Development,Gujarat,Ahmedabad,23.1011,72.5285,898.2,1027,1318,2341.8,3.98,4.9,25.8,80,0.17,2.63,18.9,1.25,14.6,49.4,105.9,73,2026-07-09,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8316,1
PRJ-TRA-KAN-2026-0057,Kanpur National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,Uttar Pradesh,Kanpur,26.4057,80.3378,808.2,1563,3775,4506.6,3.03,8.5,23.2,80,0.49,2.04,19.9,1.5,16.3,37.7,86.6,69,2026-07-13,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.3182,0
PRJ-TRA-NAS-2026-0058,Nashik High-Speed Rail Transit Link (Package 4),High-Speed Rail Transit Link,Transport,Maharashtra,Nashik,20.0332,73.7891,388.3,699,966,3015.1,3.19,10.4,29.4,80,0.66,2.46,17.3,1.5,17.0,9.1,62.2,140,2026-05-03,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.786,1
PRJ-TRA-SUN-2026-0059,Sundargarh Dedicated Freight Railway Corridor (Package 4),Dedicated Freight Railway Corridor,Transport,Odisha,Sundargarh,22.1728,84.0921,343.2,383,982,1014.8,2.99,54.1,6.3,70,0.26,1.7,27.2,2.0,9.4,17.6,73.0,355,2025-09-30,Section 19(2) 12-Month Statutory Deadline Proximity,0.8461,1
PRJ-TRA-GAD-2026-0060,Gadchiroli High-Speed Rail Transit Link (Package 4),High-Speed Rail Transit Link,Transport,Maharashtra,Gadchiroli,20.1019,79.9659,448.3,1026,2662,2950.2,2.89,50.6,7.2,80,0.38,1.88,28.0,2.0,4.9,12.6,57.3,222,2026-02-10,Cadastral Boundary Verification & Normal Progress,0.2625,0
PRJ-TRA-VAR-2026-0061,Varanasi High-Speed Rail Transit Link (Package 1),High-Speed Rail Transit Link,Transport,Uttar Pradesh,Varanasi,25.2858,83.0072,400.8,1438,3542,1626.8,4.68,10.8,55.1,70,0.39,2.36,21.9,1.5,13.8,34.7,85.4,415,2025-08-01,Section 19(2) 12-Month Statutory Deadline Proximity,0.9984,1
PRJ-TRA-CHE-2026-0062,Chennai National Highway Expressway Corridor (Package 4),National Highway Expressway Corridor,Transport,Tamil Nadu,Chennai,13.1137,80.226,169.2,305,576,1053.4,4.52,4.5,21.8,70,0.34,3.05,11.2,1.0,21.3,17.9,74.8,331,2025-10-24,Section 19(2) 12-Month Statutory Deadline Proximity,0.9942,1
PRJ-TRA-NOI-2026-0063,Noida Dedicated Freight Railway Corridor (Package 1),Dedicated Freight Railway Corridor,Transport,Uttar Pradesh,Noida,28.5938,77.3867,344.7,686,1721,1426.9,5.45,9.4,6.6,80,0.08,3.66,10.5,1.25,20.9,47.0,101.7,112,2026-05-31,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.9651,1
PRJ-TRA-JHA-2026-0064,Jharsuguda National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,Odisha,Jharsuguda,21.8847,83.9968,826.8,870,2555,5919.5,2.78,39.8,15.2,70,0.59,2.16,23.0,2.0,10.9,42.4,74.9,68,2026-07-14,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1772,0
PRJ-TRA-BEN-2026-0065,Bengaluru Urban High-Speed Rail Transit Link (Package 1),High-Speed Rail Transit Link,Transport,Karnataka,Bengaluru Urban,12.9303,77.6725,184.3,301,399,1104.3,4.87,2.2,0.6,70,0.27,3.61,4.0,1.0,18.8,37.7,93.2,385,2025-08-31,Section 19(2) 12-Month Statutory Deadline Proximity,0.9979,1
PRJ-URB-HOO-2026-0066,Hooghly Industrial Mega Smart City Hub (Package 2),Industrial Mega Smart City Hub,Urban Development,West Bengal,Hooghly,22.9108,88.4136,613.6,1415,3447,4120.2,3.09,8.1,69.0,80,0.05,1.89,12.8,1.25,10.6,6.6,61.5,75,2026-07-07,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.318,0
PRJ-ENE-NAS-2026-0067,Nashik Ultra Mega Solar Renewable Energy Park (Package 3),Ultra Mega Solar Renewable Energy Park,Energy,Maharashtra,Nashik,19.9899,73.8128,2321.4,2507,3848,7260.0,3.96,12.2,24.8,70,0.73,2.65,16.0,1.75,14.8,21.0,83.7,356,2025-09-29,Section 19(2) 12-Month Statutory Deadline Proximity,0.9911,1
PRJ-TRA-BUR-2026-0068,Burdwan National Highway Expressway Corridor (Package 4),National Highway Expressway Corridor,Transport,West Bengal,Burdwan,23.1899,87.9461,504.3,1475,2010,1443.4,2.47,8.1,60.4,80,0.43,1.75,16.6,1.5,9.9,36.0,95.5,379,2025-09-06,Section 19(2) 12-Month Statutory Deadline Proximity,0.973,1
PRJ-URB-HOO-2026-0069,Hooghly Industrial Mega Smart City Hub (Package 3),Industrial Mega Smart City Hub,Urban Development,West Bengal,Hooghly,22.8902,88.4193,2153.4,5835,9330,14172.3,2.37,9.6,71.2,80,0.26,1.84,21.9,1.25,9.5,51.4,81.5,82,2026-06-30,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.3828,0
PRJ-TRA-SAL-2026-0070,Salem National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,Tamil Nadu,Salem,11.6239,78.2053,475.3,1570,4712,2390.9,3.73,0.7,55.4,70,0.6,2.36,10.9,1.25,13.3,38.6,87.2,243,2026-01-20,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.9356,1
PRJ-ENE-CUT-2026-0071,Cuttack Ultra Mega Solar Renewable Energy Park (Package 2),Ultra Mega Solar Renewable Energy Park,Energy,Odisha,Cuttack,20.4364,85.9354,1468.7,2464,4727,8897.0,2.24,10.8,35.8,70,0.52,1.81,15.7,1.5,11.4,16.1,74.0,22,2026-08-29,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0397,0
